Type,Classify,Stratify,Parameter,Method,PT inj_WT_B1_6OH_N1,PT inj_WT_B1_6OH_N2,PT inj_WT_B1_6OH_N3,PT inj_WT_B1_6OH_N4(1),PT inj_WT_B1_6OH_N5,PT inj_WT_B1_6OH_N6,PT inj_WT_B1_6OH_N7(2),PT inj_WT_B1_veh_N1,PT inj_WT_B1_veh_N2,PT inj_WT_B1_veh_N3(3),PT inj_WT_B1_veh_N4(1),PT inj_WT_B1_veh_N5,PT inj_WT_B1_veh_N6
recoil,bend right,,angle change,std,0.6259661583089419,0.9491376984793604,0.762357286841205,0.6386409401636217,0.5213022972399894,0.7086427877757743,0.604840387705365,0.833668967480382,0.4893423378671738,0.6294092385042972,0.5317630510604956,0.5295313032789508,0.6079366526672222
recoil,bend right,,angle change,max,2.9909279417901096,3.40277906897777,3.6083083514096908,2.7595663108108663,2.234716647719837,3.3408535298672817,2.7407859485905797,3.3160414222003207,2.132713041185823,2.6323781282824457,2.4850083923361552,3.4678970511604224,2.5006475809556807
recoil,bend right,,dur,sum,7.16,3.56,8.620000000000001,4.81,3.84,6.8100000000000005,4.469999999999999,7.91,5.17,7.319999999999999,6.99,6.39,4.859999999999999
recoil,bend right,,dur,mean,0.11548387096774194,0.08682926829268293,0.08209523809523811,0.10931818181818181,0.096,0.08844155844155845,0.0993333333333333,0.09646341463414634,0.07281690140845071,0.1076470588235294,0.08737500000000001,0.06797872340425531,0.07967213114754097
recoil,bend right,,dur,std,0.06449494628453746,0.0446340130612431,0.035645024415306065,0.060670583166256245,0.05022002869424989,0.04585632410799188,0.057223644191413174,0.057807085541597844,0.03468977200400922,0.04678045411005281,0.04880194408868814,0.03425331903654661,0.04033060100034687
recoil,bend right,,dur,max,0.25,0.21,0.18,0.26,0.25,0.21,0.25,0.23,0.16,0.22,0.29,0.17,0.22
recoil,bend right,,angular velocity,sum,,,,,,,,,,,,,
recoil,bend right,,angular velocity,mean,7.597759683832838,16.58071600820744,16.77061966709499,9.832619610062558,9.065711165407185,9.711209685113662,11.28671925032367,12.047357780464775,12.46372017889461,12.756154653073034,8.74280343689808,10.077352609943738,11.848820505414693
recoil,bend right,,angular velocity,std,3.5871499080004616,9.223604969598984,7.716063392838917,4.329034350070726,4.274347955357247,5.2810993670262665,5.343285460323295,6.84172483005292,8.360001242338067,6.114955030066791,5.105826790417252,5.997507422746428,6.870743995257306
recoil,bend right,,angular velocity,max,18.657106819313498,38.96746494288067,33.16730823978823,19.753031965563856,21.62979372846977,27.203567123511274,24.96610263085136,32.15189372960665,53.31782602964557,28.7330931021308,30.295492105273382,37.6839244704816,29.764681259536452
recoil,bend right,,,count,62.0,41.0,105.0,44.0,40.0,77.0,45.0,82.0,71.0,68.0,80.0,94.0,61.0
step,,,step length,sum,21.843837308057115,40.6656957065148,45.446798039561195,25.840428116435742,27.03025545842895,25.275424210209227,31.331757736920707,33.30675315434853,26.954266571902018,30.351312936612178,17.245489495172183,22.518903810995898,38.24772106480938
step,,,step length,mean,0.12341151021501197,0.3446245398857187,0.24173828744447443,0.1782098490788672,0.19446226948510037,0.1103730314856298,0.24288184292186596,0.1994416356547816,0.1044739014414807,0.2215424301942495,0.06953826409343622,0.07792008239098926,0.23321781137078895
step,,,step length,std,0.07534311914710938,0.09653057929623972,0.08674606721248115,0.09988655819364127,0.0715302829399804,0.06819114953907135,0.10496720006438166,0.11045198567381777,0.06528122658687346,0.07028060112529243,0.04387805429953923,0.04478230626338948,0.0755294533568454
step,,,step length,max,0.3948849927617278,0.7200231925907504,0.47105019069484905,0.479722297728191,0.4453678479748899,0.5145166763294416,0.5228554263463544,0.6201186637233868,0.36238358714470126,0.4287416718946008,0.25154930622746674,0.299960945735925,0.43271264249981717
step,,,speed change,sum,,,,,,,,,,,,,
step,,,speed change,mean,0.14142641708694703,0.4284943327460757,0.36423591809514516,0.2307199774836671,0.22557203905110312,0.17489565610746233,0.29995520745666504,0.27794080242344954,0.1914127809958599,0.27097843261064586,0.11898267651880744,0.15028805983656016,0.30671552777265876
step,,,speed change,std,0.0820570246472367,0.2973090653386309,0.21120316958654126,0.11355491660280904,0.10663792034991551,0.1023096145346415,0.13517209053427046,0.16385557518339808,0.10619062734385712,0.15865651490985008,0.0709363417676607,0.08441324855674831,0.12367804990229511
step,,,speed change,max,0.5023613531824668,2.7491365265506365,2.126418061636569,0.4946213534646032,0.659137262425944,0.8025590000756914,0.6228775799691584,0.779727378506679,0.7028668067871839,1.0302901993668487,0.6503104073646024,0.3918705774967147,0.6127418410696888
step,,,velocity change,sum,,,,,,,,,,,,,
step,,,velocity change,mean,0.18390504063819046,0.6534732227350174,0.48751365164153265,0.2859168288925083,0.3057207358773329,0.20334693548722513,0.3921563772240753,0.4200403544622948,0.2088042240003402,0.43787389283621786,0.1146089552370442,0.13749868758025707,0.41539208857146176
step,,,velocity change,std,0.13151803509477009,0.3817845375769946,0.2871906114778886,0.14306732619584656,0.13731258172613323,0.15824945018600176,0.18137782812271394,0.24914750890569454,0.15942284831209885,0.20344515335496435,0.09996874990781325,0.12180206273531644,0.15334168866165243
step,,,velocity change,max,0.709178096587845,2.9023278260483467,2.205532646464335,0.6815967612473057,0.8280917622212676,0.9499991281723169,0.9127668773009604,1.2673199292508426,1.3995973858535247,1.2350505084851269,0.6562250756406599,0.6686790248732664,0.9948886941260298
step,,,accel,sum,,,,,,,,,,,,,
step,,,accel,mean,1.6756399967958306,4.612688790684136,3.9119789857018503,2.5259393560909014,2.6420241333149623,2.349637188206804,2.953509039344179,3.0130955510718502,2.752462106665844,2.623668396754314,1.6226742856721266,2.303732765229106,3.4475692415659944
