,0,1,2,3,4,5,6,7,8,9,10,11,12
videoname,PT inj_WT_B1_6OH_N1,PT inj_WT_B1_6OH_N2,PT inj_WT_B1_6OH_N3,PT inj_WT_B1_6OH_N4(1),PT inj_WT_B1_6OH_N5,PT inj_WT_B1_6OH_N6,PT inj_WT_B1_6OH_N7(2),PT inj_WT_B1_veh_N1,PT inj_WT_B1_veh_N2,PT inj_WT_B1_veh_N3(3),PT inj_WT_B1_veh_N4(1),PT inj_WT_B1_veh_N5,PT inj_WT_B1_veh_N6
bend__left_amp change_std,3.3753328251501387,4.068576996959537,3.745895075100288,3.9844881328271677,3.0757428805924105,3.9273765679759305,3.5510521457128124,3.71177822132113,2.827678864414204,3.127139848543973,2.6970024393202183,3.065993346374122,3.587660089768105
bend__right_amp change_std,3.56504861790838,3.7603151226022193,3.8555701092313224,3.9919480688241404,3.0543108020733074,4.154030197808377,3.915851128535528,3.8753160415717915,2.9941322648140347,3.5788628370103495,2.766253834651819,3.0401201097470127,3.623043175730512
bend__left_amp change_max,14.996178536355158,15.510451212482465,13.550186057015429,15.200038746011415,11.804212589768515,16.510343613669473,13.630120999740837,13.703027230472046,12.997357016649627,12.264544809933458,13.602607626678461,15.620542976370022,13.238927453181761
bend__right_amp change_max,13.75989276629944,14.504984860726188,13.812324847941776,15.890443525217698,12.274455260797287,17.32315675887974,15.043470427612004,12.80800893014821,13.827008975725192,13.466532457481021,14.298840779746094,15.609887410894844,14.327676932745465
step_count,185,118,194,149,140,240,134,172,271,137,255,302,167
step_step length_mean,17.90730494030225,51.25636031765519,30.780170686499776,26.646222432533424,27.18663128046897,17.099088683778884,33.225915256324676,25.511288984981764,13.76100150419399,28.021685129730756,9.02515459070403,10.97890983833572,28.82126807727117
step_step length_std,10.932466569529874,14.357091795380551,11.045245597663321,14.93519837093887,9.965581020985155,10.564233832512055,14.359374303474711,14.128306340042167,8.598655213051288,8.88940720626014,5.694795927901609,6.309809842749167,9.333998163058167
step_step length_max,57.298755759599636,107.08978591233898,59.978108659456936,71.72884729538349,62.27239234032538,79.7093833468343,71.52593161392508,79.32158389741306,47.73212275016549,54.229179129663095,32.64780053808574,42.26438264954232,53.47501975345994
step_step speed change_mean,20.521310961822003,63.730400396295884,46.37760880844191,34.497621043033185,31.383323827667013,27.09499135736389,41.03347612877983,35.55239660998209,25.21234041098189,34.274573538376664,15.442390793004106,21.17553021112828,37.90418234970509
step_step speed change_std,11.906670295922064,44.21908139146321,26.892180291865028,16.978913240463793,14.971878151707575,15.84989692304351,18.491363418041594,20.95934941859195,13.987123697382337,20.067591118713164,9.206606735133947,11.893794470278108,15.284245275078668
step_step speed change_max,72.89383239851992,408.88188755807704,270.7535971233491,73.95657800296888,92.16214057335948,124.33315757976479,85.20883009677081,99.73770229711431,92.57959214688807,130.315748245569,84.40176117314445,55.21441464916244,75.72319095110993
step_step velocity change_mean,26.685060712968724,97.19174082481936,62.07437625275591,42.750742785842014,42.529703420418066,31.502688987240745,53.64647435200018,53.72885572694544,27.503091211351023,55.38426359604163,14.874739137916396,19.373512546589705,51.33453003236272
step_step velocity change_std,19.08358106539838,56.783204783516176,36.56754639200498,21.39165605238375,19.30155944146711,24.51614625844534,24.812247280749585,31.869344024952618,20.99871858097032,25.732659985195802,12.974632512326497,17.161864103072244,18.95010458404675
step_step velocity change_max,102.90343591498227,431.6661862246441,280.8271376060479,101.91344083038003,115.78576079371945,147.1747139992798,124.86530301788778,162.10739971821803,184.35093804536837,156.21475505951366,85.16940753648227,94.2166191256338,122.94924470783376
step_step accel_mean,243.13936634040172,686.0499219437999,498.1063702189123,377.68250341596803,373.63446821638166,364.0078931879647,404.03613489381985,385.4157688307845,362.54638400080813,331.8534044887589,210.60183870672032,324.59506644457844,426.0537252369287
step_step accel_std,171.1159469932687,785.9061167482927,304.0716917637229,216.38103572023,226.13403708109027,294.51996523401675,207.1981020008504,303.5829899203968,400.4453433335965,191.63456863138663,312.67347110256435,221.61929057595003,293.3769596788709
step_step accel_max,1412.2603545500504,7263.068373226307,3384.4199640418638,1707.8601083734384,2096.4126411356065,3031.763296876037,1997.654657827298,3484.3372673157974,3877.1343425989885,1200.4163660287147,4798.966335313042,1886.6982233521774,2836.903141094007
step_step dur_mean,0.41740112994350287,0.6144915254237289,0.4040957446808511,0.5091034482758621,0.5186428571428572,0.3351528384279476,0.5575968992248063,0.4473652694610779,0.3091472868217054,0.5416058394160584,0.32318548387096774,0.2723875432525952,0.4589634146341464
step_step dur_std,0.18772871686313633,0.18282492422812793,0.12501008037634073,0.20872934775212332,0.16777944890180202,0.1535703686161754,0.21591656082920105,0.2117517402748202,0.13672108566341756,0.17607332019161095,0.12827386358852244,0.1196820526778328,0.12944723871274597
step_step dur_max,0.93,1.01,0.73,1.13,1.26,0.85,1.12,1.06,1.09,1.07,0.9,0.81,1.06
step_turn angle overall_mean,0.477722514707873,0.8969476855583508,0.544693179048583,0.5017816597584879,0.5379160721583129,0.4369428675815034,0.6005973780689623,0.779283047294615,0.40467871326567145,0.7731157955908383,0.4075775288116711,0.32307102617169603,0.5507537525109112
step_turn angle overall_std,0.4987830724296735,0.7431447892098723,0.6104639690159792,0.43463097439771187,0.3662385241292381,0.5216852684993082,0.40201093059610543,0.7718325118413338,0.5638010021532225,0.48992515007091797,0.8564478631505135,0.5208723866814856,0.4647923417552335
step_turn angle overall_max,2.594306435152588,5.590771816681816,3.047852099973598,2.07191323078224,2.6449813491307745,2.5909456555794748,2.0368937768593813,4.704521308786787,6.03297107350702,2.60971750180531,9.631034231554121,5.955857905119231,2.721171546875194
step_turn angle max_mean,0.4861791247246774,0.9454495385806608,0.6590314147107826,0.5225581239531811,0.5680273565958803,0.4524904611246794,0.6580877307901077,0.8087696238844156,0.4193618232921854,0.8061001119634432,0.4154089984531644,0.3322387651669092,0.6367624841333155
step_turn angle max_std,0.48953792388015316,0.770994524525555,0.572326222994528,0.42237224369098414,0.3577831093088539,0.5169145693696242,0.3697284453348138,0.7498941397917331,0.5427621906373089,0.4450760035113287,0.855001972903376,0.5371630371644087,0.416002710950925
step_turn angle max_max,2.594306435152588,6.426225578999201,2.9313764729654785,2.07191323078224,2.7955078072612904,2.587356033209968,2.0368937768593813,4.704521308786787,6.153032083480932,2.60971750180531,9.631034231554121,6.172582380769692,2.721171546875194
step_turn angle sum_mean,0.5262431674794793,1.0088433623248552,0.7949038588659901,0.5574381146677736,0.5998006311182394,0.49438627070479063,0.7157432412047237,0.9387482966544299,0.4803174481012941,0.8521536447009741,0.5209058545497369,0.3735273232496381,0.7332233118668735
step_turn angle sum_std,0.607623977977312,0.8162804850248462,0.6036615508007244,0.4527164220181928,0.35749468291909686,0.601275352762166,0.35766065771835576,1.1629608770223887,0.6574860298000024,0.4352237353014484,1.9236732806031398,0.6836192983934896,0.3876054392905946
step_turn angle sum_max,5.188612870305176,7.232237692956524,3.8421509987797657,2.948392825502175,2.9460342653918064,5.174712066419936,2.0368937768593813,9.409042617573574,6.273093093454844,2.60971750180531,28.893102694662364,6.990293315375428,2.721171546875194
step_turn dur max_mean,0.05491525423728814,0.06372881355932203,0.05436170212765957,0.05179310344827586,0.060071428571428574,0.04724890829694323,0.06031007751937984,0.06275449101796407,0.045038759689922485,0.0656204379562044,0.04512096774193549,0.038304498269896195,0.05939024390243903
step_turn dur max_std,0.033475205275828555,0.018247894629501434,0.023034896133215292,0.024400277933220162,0.0184857101556551,0.03226581022952732,0.02426861349099272,0.04158986019059347,0.02700696065364398,0.02192437918728739,0.03651833164902396,0.03168142222845325,0.02068445733879111
step_turn dur max_max,0.19,0.11,0.12,0.13,0.12,0.14,0.13,0.32,0.13,0.13,0.18,0.17,0.13
step_turn dur sum_mean,0.060508474576271204,0.07610169491525424,0.07914893617021276,0.05875862068965517,0.06842857142857144,0.054323144104803496,0.0727906976744186,0.07814371257485031,0.05449612403100775,0.07445255474452556,0.05104838709677419,0.043979238754325266,0.0798170731707317
step_turn dur sum_std,0.045217544694819985,0.02245732508768936,0.031712598905537494,0.029718184636419016,0.021196966953232813,0.04006683491675735,0.026662729845060833,0.07163009694634928,0.0407031818431405,0.02363695100862447,0.047603601884392825,0.04116041937383054,0.024128301254801712
step_turn dur sum_max,0.38,0.18000000000000002,0.19,0.25,0.16,0.26,0.13,0.64,0.35,0.15,0.42000000000000004,0.34,0.14
step_turn angular velocity max_mean,1.120862807877346,2.259268418203372,2.054274865040534,1.700738476053451,1.5309670888661329,1.390031524975994,1.6083292288996487,1.614493377182368,1.4664846938539111,1.7747181013564677,1.090350456804084,1.2948570650875986,1.7750012401308648
step_turn angular velocity max_std,0.6300544691485439,1.3330476209286317,1.7835359319078807,0.7909679623464284,0.5737917324522186,1.9039419373326643,0.6810438681458414,0.8807740673995393,1.9527682261219743,0.6401350030572271,2.197872894561409,3.017540272540535,0.5896121458943426
step_turn angular velocity max_max,3.6836331397381294,13.114746079590207,23.989732647117563,4.297477466034808,4.131347943999458,26.14596234410077,3.328960134184178,3.7993135964001667,24.612128333923728,3.9290076450028355,30.975892725182185,25.34707403929428,4.93773630268195
step_bend angle max_mean,1.0671989364320267,1.6415290423805085,1.415967053737498,1.2320974072724595,1.2232154621746485,1.183196268751781,1.3066140361300964,1.5570204461204349,1.068936230858247,1.6045631017556445,0.8778143703945114,0.9197057263607182,1.3315669692102665
step_bend angle max_std,0.5752596084694506,0.542158465416154,0.6271336062133113,0.5956477692066989,0.4629502011352572,0.7871612657609475,0.4022077139238532,0.8097845700762423,0.6425264281948289,0.5131776805406582,0.5030905060690277,0.6050634559950773,0.5409332479330282
step_bend angle max_max,3.1888719110330994,3.457862142289983,3.5468866693538437,3.822636063589445,3.4008930505101747,4.936328271594592,2.6906891197549,6.47775010282826,4.953397492634162,3.1506576343109876,3.098122511154551,4.641825701508531,4.924389479974854
step_bend angle mean_mean,1.0515559440772522,1.5580976191567661,1.2458556075786558,1.209994498377361,1.2117899366693554,1.1410112438396858,1.230230614779545,1.5028707130869714,1.0080148008907455,1.513340679016879,0.853791362988961,0.8719690448358326,1.2296103843881143
step_bend angle mean_std,0.5885793911785661,0.5902447134716234,0.6801176635434366,0.6146376492775112,0.47371025916067677,0.7961703287434027,0.4675982113412442,0.8488342363633724,0.6499607985785537,0.5895888031674299,0.502846564011479,0.6054000207898936,0.603471621902791
step_bend angle mean_max,3.1888719110330994,3.335730895969668,3.5468866693538437,3.822636063589445,3.4008930505101747,4.936328271594592,2.6906891197549,6.47775010282826,4.953397492634162,3.1506576343109876,3.098122511154551,4.641825701508531,4.924389479974854
step_bend angle traveled total_mean,1.8431262977976262,3.3675608235274144,3.280522379897707,2.2243896296442482,2.3412358095759194,2.0790333863934984,2.481759527771948,2.937997327330792,2.192682488652095,3.1835467945200344,1.5769451246832646,1.7671009464774428,2.8791699172743637
step_bend angle traveled total_std,0.8957216942168174,1.128381505985949,1.0979464969121189,0.851709918312202,0.9313294177162159,1.0602997153504334,0.7791480638207468,1.231494048978807,1.0677753832912773,0.865039360755417,0.8024997678240269,1.0353983033426664,0.865150005499559
step_bend angle traveled total_max,5.37923553384006,8.26385158389158,7.155195020763534,5.107760971663326,6.531506781791609,7.33800379049815,5.431475068345479,6.47775010282826,9.015860903926317,6.223557650993753,5.231034492541492,8.250028021715721,7.285200883075228
step_bend angular velocity max_mean,14.077755945668482,25.23282979666527,25.729143861684175,17.280535567529466,16.991327666742624,16.88625198000721,18.303472397053756,22.552657515495394,19.307287379261744,23.836607312655286,13.288347847598956,16.928955046901198,22.59296394453325
step_bend angular velocity max_std,5.071126651087238,5.9908090403696495,6.638352760033208,5.0118803789018465,5.188692471476825,8.12630176310854,4.849705154639687,7.812320144314724,11.298093193638667,5.43788493611094,7.578649187609902,18.618538889189733,5.558197274308132
step_bend angular velocity max_max,29.8122733231163,45.28338724815215,55.02194641131546,33.54563801217799,34.008930505101745,90.51548887899419,29.896545775054445,61.96379651532218,161.35267258786698,44.69939924126545,84.47434274336564,232.09128507542655,40.59133540143761
step_bend amp max_mean,5.693945922284112,10.39224961141142,7.213335186951767,7.1805233133901,4.731549563234525,6.130883694692677,8.634585081386343,7.513075520450236,5.031392830484277,8.391894496146143,3.8772250328888247,4.377328960294901,7.657913261761611
step_bend amp max_std,3.476421801561656,2.5451152477761942,3.159796806229481,3.6514827871961137,3.1314883791429016,4.177981191967616,3.0055402248319836,3.392609608416707,2.872121052379119,2.3003957708765,2.899335639082872,3.2124127994747185,2.6032228688487464
step_bend amp max_max,13.75989276629944,15.510451212482465,13.812324847941776,15.890443525217698,11.804212589768515,17.32315675887974,15.043470427612004,13.703027230472046,13.827008975725192,12.807473307409236,14.298840779746094,15.609887410894844,14.327676932745465
step_period_mean,0.31807909604519774,0.2537288135593221,0.21648936170212768,0.29724137931034483,0.28828571428571426,0.28838427947598255,0.2826356589147287,0.29233532934131734,0.24364341085271318,0.2710948905109489,0.2913709677419355,0.2518339100346021,0.23097560975609763
step_period_std,0.14935746649959694,0.06797179669236995,0.11204666184976668,0.15591344980923752,0.06552436920656146,0.13699632123704256,0.1212017905437364,0.12743505838569064,0.11420806996159223,0.1050187576530749,0.11934256261234526,0.11965122967518363,0.11994487236894029
step_period_max,0.88,0.48,0.72,1.04,0.64,1.08,1.0,0.8,0.64,1.0,0.88,0.68,1.16
step_bend dur_mean,0.17468926553672315,0.18093220338983054,0.16930851063829785,0.17655172413793105,0.185,0.15882096069868998,0.1824031007751938,0.1750299401197605,0.14802325581395348,0.19467153284671534,0.1489516129032258,0.13519031141868515,0.17054878048780486
step_bend dur_std,0.07297290552619357,0.04324423360868734,0.044578243799300046,0.06156951029284828,0.0537044938703504,0.06329344286416505,0.05544951523963106,0.06293881377109085,0.05291105010864625,0.05357857197461488,0.05985567728003058,0.05568433267810129,0.04809567470037232
